review_id,body,rating,date
p01b2f3e-796,This power bank saved my trip! I was on a 12-hour flight and my phone battery was dying. This charged my iPhone from 10% to 100% twice and still had power left. The size is perfect for travel and doesn't feel too heavy in my bag.,5.0,2025-09-25
p02a6b3f2-e00,Great capacity for the price. I can charge my tablet and phone multiple times. The LED indicator is helpful to know how much juice is left. Only minor complaint is it takes about 4 hours to fully recharge.,4.0,2025-09-23
p03e5a6dc-1dc,Stopped working after 2 months. It was great at first but now it won't hold a charge. Very disappointed considering the price.,1.0,2025-09-22
p04e9a5d31-8aa,Compact and powerful. Love that it has 2 USB ports so I can charge multiple devices at once. The fast charging works great with my Samsung. Would recommend.,4.0,2025-09-21
p057b0fe9e-2a4,Excelente producto,5.0,2025-09-21
p06554c1a1-566,The best power bank I've owned. Charges my devices quickly and the build quality feels premium.,5.0,2025-09-21
p07414ad53-2c1,Works as described. Not the fastest charging but good enough for everyday use. The 20000mAh lasts me about 3-4 days of normal phone usage.,3.0,2025-09-21
p08e80c984-1f3,Doesn't support fast charging for iPhone as advertised. Misleading product description.,2.0,2025-09-20
p092b731eb0-f77,Amazing value! I've bought 3 of these for my family. Everyone loves them. The carrying pouch is a nice bonus.,5.0,2025-09-20
p1056c8c579-8a,Good backup charger. Keep it in my car for emergencies. Has saved me multiple times when my phone died while traveling.,4.0,2025-09-19
